id,predicted_prob
44791,0.89335054
41573,0.8877817
44735,0.8864836
41641,0.88557994
44910,0.8842304
43571,0.8823201
44756,0.88109875
43197,0.8788019
41580,0.87757486
44664,0.87640274
44863,0.87629753
45012,0.87442213
43165,0.8731273
41683,0.8729171
42577,0.8722199
44643,0.8697494
44786,0.86860687
44903,0.8670726
45101,0.8660137
44674,0.86510444
42449,0.86472785
41742,0.8627583
43122,0.8626729
43317,0.86260885
41917,0.8624862
42034,0.8624423
43890,0.8595403
41659,0.85934395
45031,0.8591066
42986,0.85852814
43336,0.85836
31281,0.85836
43146,0.85760796
42993,0.85743946
44028,0.8571732
42988,0.8571175
43164,0.8570898
43479,0.85656285
34011,0.85622215
43294,0.8560111
42498,0.855989
34057,0.85496265
43005,0.8545833
43579,0.8541399
44027,0.85412705
42907,0.85291237
43135,0.85044307
29183,0.8502508
44630,0.8496777
44777,0.8496777
43525,0.8494638
41375,0.8494497
44800,0.849373
43123,0.8492003
40197,0.84913766
41578,0.8470626
42585,0.8469106
43892,0.8463493
40058,0.8458854
43547,0.8458528
43938,0.8455815
41507,0.8455101
43965,0.84547454
44016,0.8453797
43001,0.8446793
43860,0.84388995
43033,0.8427615
33897,0.8414147
43475,0.8401304
34147,0.83975446
45035,0.83935755
40119,0.8389454
44678,0.8377077
43058,0.83744276
42894,0.8371775
40226,0.8371063
43477,0.8338252
43423,0.8338252
44411,0.83073014
44534,0.8292366
42516,0.8276048
44673,0.82749426
42530,0.82731575
44961,0.8267333
44234,0.82538223
45102,0.82525986
44642,0.82516676
44401,0.8250494
41241,0.82487553
41591,0.82436866
42860,0.8230093
44850,0.8220892
44725,0.8212506
41610,0.8210352
42859,0.8209772
40607,0.81785595
44521,0.8178184
44420,0.81760734
42709,0.81521404
40212,0.8151947
41463,0.8148486
44710,0.8128847
44150,0.8118161
44200,0.8103929
44254,0.80941147
40651,0.8085215
40628,0.8085215
40631,0.8071207
43482,0.80682385
41674,0.80593836
40940,0.80507904
44295,0.80497646
44151,0.8037358
42966,0.80307865
44460,0.8018949
42711,0.8013068
42717,0.8001392
41247,0.79919887
44072,0.79907423
43896,0.79866296
44762,0.7985445
45098,0.7983887
40866,0.79776734
41963,0.79740167
44806,0.79680043
44391,0.79608107
42730,0.7942526
44540,0.79126626
44159,0.79123676
41186,0.7899462
41016,0.7894225
43039,0.78840864
44376,0.78762025
41907,0.7875156
45126,0.7862642
42851,0.78605664
43340,0.7846239
42915,0.7845531
42805,0.7832109
31791,0.78239644
41245,0.7821205
41532,0.7812137
44946,0.7806428
32422,0.7795662
42604,0.77949977
40856,0.7791522
43573,0.77909124
40922,0.7788634
40914,0.7784539
43013,0.7777616
42534,0.77441347
43538,0.7743563
42599,0.7705054
40079,0.7692102
43467,0.7674464
44256,0.76697516
44795,0.766661
42748,0.7666493
44312,0.7660272
34107,0.7652879
33742,0.76455414
42998,0.76431006
43731,0.7636043
40775,0.76146674
42753,0.7613402
42576,0.760507
41438,0.759214
43705,0.7565565
40417,0.7564947
43303,0.75580233
43497,0.7556227
43615,0.7552955
43677,0.7548706
43852,0.7548022
43929,0.7546099
42289,0.7542454
44382,0.75392395
42111,0.75387746
45193,0.75374514
44575,0.7512245
44252,0.7511828
34307,0.74919564
43015,0.748924
44531,0.7456633
43843,0.74389756
43719,0.74285936
40964,0.73952585
45190,0.7365545
43684,0.7358073
42383,0.7357268
44087,0.7339316
42220,0.73214966
33182,0.73214597
43000,0.7313903
32800,0.73138726
44844,0.7312305
42227,0.73006904
45188,0.72956383
44991,0.7294883
42143,0.72909427
43536,0.7285274
43211,0.7278154
25478,0.7271267
27894,0.72629833
44522,0.7244177
39480,0.723522
42322,0.72091573
41885,0.72003615
43980,0.7193782
32977,0.7186743
43160,0.7164461
30180,0.7147752
42742,0.71476007
39529,0.7136046
43310,0.71273005
41836,0.71264666
42386,0.7124462
45177,0.7118294
44189,0.7094061
42810,0.70559114
39647,0.7036526
41264,0.70287794
43930,0.70268726
43076,0.7022227
43658,0.70125294
41756,0.69881773
43642,0.69879866
44114,0.69820875
32168,0.69789135
39794,0.6975843
45178,0.69236004
43390,0.692028
44128,0.69141454
42938,0.6909996
33295,0.68915284
45162,0.68849003
24050,0.6875874
42707,0.6872746
41064,0.6846115
39724,0.68348336
43045,0.6823733
32540,0.6795626
42565,0.67899466
41315,0.67563826
41032,0.67342746
44560,0.6725056
42978,0.66906464
40918,0.66299677
